trt	ano	mes	recebidos
19	2006	12	365
20	2006	12	64
21	2006	12	379
22	2006	12	229
23	2006	12	455
24	2006	12	404
1	2007	1	4502
2	2007	1	7063
3	2007	1	2543
4	2007	1	2472
5	2007	1	2276
6	2007	1	697
7	2007	1	390
8	2007	1	936
9	2007	1	1746
10	2007	1	26
11	2007	1	841
12	2007	1	1094
13	2007	1	457
14	2007	1	141
15	2007	1	5438
16	2007	1	584
17	2007	1	728
18	2007	1	868
19	2007	1	308
20	2007	1	351
21	2007	1	361
22	2007	1	343
23	2007	1	533
24	2007	1	407
1	2007	2	4265
2	2007	2	8836
3	2007	2	3928
4	2007	2	2882
5	2007	2	2550
6	2007	2	885
7	2007	2	364
8	2007	2	1100
9	2007	2	3030
10	2007	2	2458
11	2007	2	857
12	2007	2	1678
13	2007	2	474
14	2007	2	223
15	2007	2	5446
16	2007	2	926
17	2007	2	1018
18	2007	2	883
19	2007	2	216
20	2007	2	367
21	2007	2	331
22	2007	2	393
23	2007	2	644
24	2007	2	590
1	2007	3	5403
2	2007	3	10309
3	2007	3	6004
4	2007	3	4195
5	2007	3	3781
6	2007	3	1778
7	2007	3	711
8	2007	3	1411
9	2007	3	3745
10	2007	3	1668
11	2007	3	1052
12	2007	3	1791
13	2007	3	612
14	2007	3	237
15	2007	3	7197
16	2007	3	373
17	2007	3	1010
18	2007	3	1296
19	2007	3	530
20	2007	3	442
21	2007	3	398
22	2007	3	490
23	2007	3	876
24	2007	3	949
1	2007	4	5413
2	2007	4	9551
3	2007	4	4651
4	2007	4	3914
5	2007	4	3145
6	2007	4	1261
7	2007	4	700
8	2007	4	1083
9	2007	4	3033
10	2007	4	1012
11	2007	4	761
12	2007	4	1842
13	2007	4	518
14	2007	4	305
15	2007	4	6075
16	2007	4	364
17	2007	4	947
18	2007	4	1084
19	2007	4	350
20	2007	4	380
21	2007	4	435
22	2007	4	354
23	2007	4	756
24	2007	4	597
1	2007	5	5880
2	2007	5	9353
3	2007	5	5993
4	2007	5	4835
5	2007	5	3984
6	2007	5	1697
7	2007	5	582
8	2007	5	1374
9	2007	5	3932
10	2007	5	1411
11	2007	5	913
12	2007	5	1977
13	2007	5	664
14	2007	5	328
15	2007	5	6873
16	2007	5	681
17	2007	5	1249
18	2007	5	1316
19	2007	5	519
20	2007	5	496
21	2007	5	554
22	2007	5	420
23	2007	5	846
24	2007	5	783
1	2007	6	6449
2	2007	6	14652
3	2007	6	5939
4	2007	6	5140
5	2007	6	3307
6	2007	6	1548
7	2007	6	644
8	2007	6	1170
9	2007	6	3370
10	2007	6	1372
11	2007	6	955
12	2007	6	1673
13	2007	6	572
14	2007	6	276
15	2007	6	6854
16	2007	6	446
17	2007	6	1056
18	2007	6	1322
19	2007	6	379
20	2007	6	418
21	2007	6	563
22	2007	6	466
23	2007	6	871
24	2007	6	775
1	2007	7	8407
2	2007	7	12513
3	2007	7	5889
4	2007	7	7100
5	2007	7	3448
6	2007	7	1454
7	2007	7	486
8	2007	7	1340
9	2007	7	3477
10	2007	7	1320
11	2007	7	767
12	2007	7	1998
13	2007	7	643
14	2007	7	373
15	2007	7	6215
16	2007	7	563
17	2007	7	1027
18	2007	7	1421
19	2007	7	362
20	2007	7	466
21	2007	7	605
22	2007	7	510
23	2007	7	812
24	2007	7	769
1	2007	8	7529
2	2007	8	11208
3	2007	8	6143
4	2007	8	6358
5	2007	8	3802
6	2007	8	1814
7	2007	8	565
8	2007	8	1364
9	2007	8	4072
10	2007	8	1623
11	2007	8	913
12	2007	8	1890
13	2007	8	756
14	2007	8	283
15	2007	8	7675
16	2007	8	602
17	2007	8	1344
18	2007	8	1408
19	2007	8	433
20	2007	8	468
21	2007	8	766
22	2007	8	313
23	2007	8	734
24	2007	8	757
1	2007	9	7222
2	2007	9	9926
3	2007	9	4839
4	2007	9	6732
5	2007	9	3252
6	2007	9	1309
7	2007	9	636
8	2007	9	1151
9	2007	9	3781
10	2007	9	1489
11	2007	9	936
12	2007	9	1648
13	2007	9	540
14	2007	9	222
15	2007	9	9240
16	2007	9	537
17	2007	9	1018
18	2007	9	1316
19	2007	9	451
20	2007	9	419
21	2007	9	755
22	2007	9	726
23	2007	9	687
24	2007	9	472
1	2007	10	11449
2	2007	10	11286
3	2007	10	6195
4	2007	10	7371
5	2007	10	3562
6	2007	10	1960
7	2007	10	754
8	2007	10	1180
9	2007	10	4247
10	2007	10	1590
11	2007	10	1015
12	2007	10	2091
13	2007	10	573
14	2007	10	336
15	2007	10	6731
16	2007	10	564
17	2007	10	1468
18	2007	10	1261
19	2007	10	456
20	2007	10	365
21	2007	10	867
22	2007	10	608
23	2007	10	835
24	2007	10	647
1	2007	11	5701
2	2007	11	9270
3	2007	11	5174
4	2007	11	5417
5	2007	11	3278
6	2007	11	1437
7	2007	11	750
8	2007	11	1078
9	2007	11	3768
10	2007	11	1220
11	2007	11	688
12	2007	11	1699
13	2007	11	577
14	2007	11	289
15	2007	11	5314
16	2007	11	443
17	2007	11	1085
18	2007	11	1157
19	2007	11	306
20	2007	11	472
21	2007	11	557
22	2007	11	421
23	2007	11	636
24	2007	11	667
1	2007	12	4753
2	2007	12	9312
3	2007	12	4206
4	2007	12	5381
5	2007	12	2141
6	2007	12	1039
7	2007	12	431
8	2007	12	727
9	2007	12	2161
10	2007	12	1008
11	2007	12	490
12	2007	12	1222
13	2007	12	396
